category_key,category_id,category_name
344,nocategory.344,01.04 Agricultural and food products processing
345,nocategory.345,01.05 Agricultural and domestic animal services
346,nocategory.346,01.06 Applied horticulture/horticultural business services
347,nocategory.347,01.07 International agriculture
340,nocategory.340,"01.00 Agriculture, general"
341,nocategory.341,01.01 Agricultural business and management
342,nocategory.342,01.02 Agricultural mechanization
343,nocategory.343,01.03 Agricultural production operations
348,nocategory.348,01.08 Agricultural public services
349,nocategory.349,01.09 Animal sciences
298,nocategory.298,15.03 Electrical and electronic engineering technologies/technicians
299,nocategory.299,15.04 Electromechanical and instrumentation and maintenance technologies/technicians
296,nocategory.296,15.01 Architectural engineering technology/technician
297,nocategory.297,15.02 Civil engineering technology/technician
294,nocategory.294,15. Engineering technologies and engineering-related fields
295,nocategory.295,"15.00 Engineering technology, general"
292,nocategory.292,14.45 Biological/biosystems engineering
293,nocategory.293,"14.99 Engineering, other"
290,nocategory.290,14.43 Biochemical engineering
291,nocategory.291,14.44 Engineering chemistry
199,nocategory.199,30.18 Natural sciences
198,nocategory.198,30.01 Biological and physical sciences
195,nocategory.195,26.14 Molecular medicine
194,nocategory.194,"26.13 Ecology, evolution, systematics and population biology"
197,nocategory.197,"26.99 Biological and biomedical sciences, other"
196,nocategory.196,26.15 Neurobiology and neurosciences
191,nocategory.191,26.10 Pharmacology and toxicology
190,nocategory.190,"26.09 Physiology, pathology and related sciences"
193,nocategory.193,26.12 Biotechnology
192,nocategory.192,"26.11 Biomathematics, bioinformatics, and computational biology"
270,nocategory.270,14.19 Mechanical engineering
271,nocategory.271,14.20 Metallurgical engineering
272,nocategory.272,14.21 Mining and mineral engineering
273,nocategory.273,14.22 Naval architecture and marine engineering
274,nocategory.274,14.23 Nuclear engineering
275,nocategory.275,14.24 Ocean engineering
276,nocategory.276,14.25 Petroleum engineering
277,nocategory.277,14.27 Systems engineering
278,nocategory.278,14.28 Textile sciences and engineering
279,nocategory.279,14.32 Polymer/plastics engineering
108,nocategory.108,19.09 Apparel and textiles
109,nocategory.109,"19.99 Family and consumer sciences/human sciences, other"
102,nocategory.102,"19.01 Family and consumer sciences/human sciences, general"
103,nocategory.103,19.02 Family and consumer sciences/human sciences business services
100,nocategory.100,19. Family and consumer sciences/human sciences
101,nocategory.101,19.00 Work and family studies
106,nocategory.106,19.06 Housing and human environments
107,nocategory.107,"19.07 Human development, family studies and related services"
104,nocategory.104,19.04 Family and consumer economics and related services
105,nocategory.105,"19.05 Foods, nutrition and related services"
39,nocategory.39,"16.01 Linguistic, comparative and related language studies and services"
