category_key,category_id,category_name
344,513,Creative and performing artists
345,5131,"Producers, directors, choreographers and related occupations"
346,5132,"Conductors, composers and arrangers"
347,5133,Musicians and singers
340,5121,Authors and writers
341,5122,Editors
342,5123,Journalists
343,5125,"Translators, terminologists and interpreters"
348,5134,Dancers
349,5135,Actors and comedians
595,8441,Fishing vessel deckhands
606,92,"Processing, manufacturing and utilities supervisors and central control operators"
594,844,Other workers in fishing and trapping and hunting occupations
619,9226,"Supervisors, other mechanical and metal products manufacturing"
298,4154,Professional occupations in religion
299,4155,Probation and parole officers and related occupations
296,4152,Social workers
297,4153,"Family, marriage and other related counsellors"
294,415,Social and community service professionals
295,4151,Psychologists
292,4111,Judges
293,4112,Lawyers and Quebec notaries
290,41,"Professional occupations in law and social, community and government services"
291,411,"Judges, lawyers and Quebec notaries"
591,843,Agriculture and horticulture workers
590,8422,Silviculture and forestry workers
593,8432,Nursery and greenhouse workers
592,8431,General farm workers
199,2231,Civil engineering technologists and technicians
198,223,"Technical occupations in civil, mechanical and industrial engineering"
597,86,"Harvesting, landscaping and natural resources labourers"
596,8442,Trappers and hunters
195,2223,Forestry technologists and technicians
194,2222,Agricultural and fish products inspectors
197,2225,Landscape and horticulture technicians and specialists
196,2224,Conservation and fishery officers
191,2212,Geological and mineral technologists and technicians
190,2211,Chemical technologists and technicians
193,2221,Biological technologists and technicians
192,222,Technical occupations in life sciences
270,3233,Licensed practical nurses
271,3234,Paramedical occupations
272,3236,Massage therapists
273,3237,Other technical occupations in therapy and assessment
274,34,Assisting occupations in support of health services
275,341,Assisting occupations in support of health services
276,3411,Dental assistants
277,3413,"Nurse aides, orderlies and patient service associates"
278,3414,Other assisting occupations in support of health services
279,4,"Occupations in education, law and social, community and government services"
524,7335,Other small engine and small equipment repairers
525,736,Train crew operating occupations
526,7361,Railway and yard locomotive engineers
527,7362,Railway conductors and brakemen/women
520,7331,Oil and solid fuel heating mechanics
521,7332,Appliance servicers and repairers
522,7333,Electrical mechanics
523,7334,"Motorcycle, all-terrain vehicle and other related mechanics"
599,8611,Harvesting labourers
528,737,"Crane operators, drillers and blasters"
529,7371,Crane operators
449,672,"Support occupations in accommodation, travel and amusement services"
448,6711,"Food counter attendants, kitchen helpers and related support occupations"
443,6621,Service station attendants
442,662,Other sales support and related occupations
441,6611,Cashiers
440,661,Cashiers
447,671,"Food counter attendants, kitchen helpers and related support occupations"
446,67,"Service support and other service occupations, n.e.c."
445,6623,Other sales related occupations
444,6622,"Store shelf stockers, clerks and order fillers"
108,1251,"Court reporters, medical transcriptionists and related occupations"
109,1252,Health information management occupations
102,1228,"Employment insurance, immigration, border services and revenue officers"
103,124,"Office administrative assistants - general, legal and medical"
100,1226,Conference and event planners
101,1227,Court officers and justices of the peace
106,1243,Medical administrative assistants
107,125,"Court reporters, transcriptionists, records management technicians and statistical officers"
104,1241,Administrative assistants
105,1242,Legal administrative assistants
39,0421,Administrators - post-secondary education and vocational training
38,042,Managers in education and social and community services
33,041,Managers in public administration
32,0311,Managers in health care
31,031,Managers in health care
30,0213,Computer and information systems managers
37,0414,Other managers in public administration
36,0413,Government managers - education policy development and program administration
35,0412,"Government managers - economic analysis, policy development and program administration"
34,0411,Government managers - health and social policy development and program administration
641,9423,Rubber processing machine operators and related workers
640,9422,Plastics processing machine operators
643,9431,Sawmill machine operators
642,943,Machine operators and related workers in pulp and paper production and wood processing and manufacturing
645,9433,Papermaking and finishing machine operators
644,9432,Pulp mill machine operators
438,6564,Other personal service occupations
439,66,Sales support occupations
436,6562,"Estheticians, electrologists and related occupations"
437,6563,Pet groomers and animal care workers
434,656,Other occupations in personal service
435,6561,"Image, social and other personal consultants"
432,6551,Customer services representatives - financial institutions
433,6552,Other customer and information services representatives
430,6541,Security guards and related security service occupations
431,655,Customer and information services representatives
339,512,"Writing, translating and related communications professionals"
